id;sku;name;description;link;image_link;aditional_image_link;mobile_link;availability;availability_date;price;sale_price;brand;stl_condition;adult;age_group;company_id
1;Developer Tasty;Implemented back transmit;proactive;niches Checking user-facing;grey;Intelligent synthesize;data-warehouse architecture Washington;BACKORDER;2021-06-24T02:33:26;panel Home;mobile;Chair Hill Avon;REFURBISHED;false;ADULT;1
2;supply-chains interactive;plug-and-play;Principal generating Soap;Palestinian override;Future;Team-oriented Avon ubiquitous;Analyst Account;OUT_OF_STOCK;2021-06-24T16:06:01;system-worthy Mill;Planner leverage SAS;demand-driven;USED;true;KIDS;2
3;Practical Denar Frozen;solutions;administration Home;strategic;Swedish invoice Vision-oriented;Money;deliverables Idaho Credit;PREORDER;2021-06-24T16:39:29;integrated Money Concrete;lime;Steel withdrawal technologies;REFURBISHED;false;KIDS;3
4;real-time;Hat transmitting;capacitor magnetic action-items;Sweden 5th;Upgradable;Trace adapter withdrawal;matrix Toys Towels;OUT_OF_STOCK;2021-06-24T07:59:08;Profit-focused Belize;parse;Nigeria;NEW;false;NEWBORN;4
5;Balboa Movies GB;parse copying;Squares;Fully-configurable;Bedfordshire;FTP;Rubber Bedfordshire Applications;BACKORDER;2021-06-24T15:03:19;synergize Rustic Metrics;navigating;Personal leverage Wooden;REFURBISHED;true;ADULT;5
6;Future;system-worthy Generic Coordinator;logistical;B2C Personal Somali;Technician upward-trending;Health grey;Games application Monitored;PREORDER;2021-06-23T22:22:55;Synchronised;XML Automotive Fantastic;vortals Ergonomic;NEW;true;INFANT;6
7;integrate digital;Kip;Peso online;Outdoors;port;Cotton;Metal Concrete Agent;IN_STOCK;2021-06-24T17:09:55;PCI;deposit Gloves Ergonomic;Implemented XSS;REFURBISHED;false;ADULT;7
8;JBOD;magnetic;Qatar Vermont;Multi-layered;Metal;Enterprise-wide;Grocery;OUT_OF_STOCK;2021-06-23T20:50:50;online Run;invoice;Table Iraq Small;REFURBISHED;false;ADULT;8
9;Solutions Re-engineered;Beauty;Metal FTP;array;Central Brazil;Ball infrastructures Car;Chips virtual Cotton;PREORDER;2021-06-23T19:42:58;action-items;Uruguay Money Direct;regional;REFURBISHED;false;TODDLER;9
10;hack cross-platform;B2C Technician Zealand;Customer;Shirt;Avon parse;Refined;Toys Brand Manager;OUT_OF_STOCK;2021-06-24T11:33:15;Handcrafted;Ramp blockchains Pizza;Rubber pricing;USED;false;ADULT;10
