id;sku;name;description;link;image_link;aditional_image_link;availability;price;category;company_id
1;Steel;Assistant;cross-platform Principal;wireless Computer;reboot magenta THX;THX;BACKORDER;Soap withdrawal;Metical Incredible;1
2;Union compressing;initiative Generic;Lao;Australian;Business-focused;Rubber;BACKORDER;orange Practical;Identity Dynamic Sports;2
3;Mexico yellow Cape;Ethiopia;Crossroad CSS;De-engineered;Central Intelligent;pixel methodical quantifying;BACKORDER;Consultant online;project hacking efficient;3
4;mobile metrics;lavender application grey;up;systems Gorgeous;Brand;Plastic Cambridgeshire;IN_STOCK;National;Zimbabwe Games Balboa;4
5;transmit Incredible IB;Algeria Rustic;Taka;wireless Practical Solutions;International Square;Frozen Sausages;IN_STOCK;Administrator CFA;Colombian B2C;5
6;bypassing Gateway Virtual;index Account Concrete;Soft;deposit clear-thinking focus;Loan;Small Congo Engineer;BACKORDER;Cheese benchmark;portals Chicken;6
7;Pike;Account Representative markets;adapter Keyboard Industrial;Buckinghamshire;application e-business Concrete;Agent Technician;IN_STOCK;time-frame;redefine;7
8;Nebraska Producer;Regional;Orchestrator Directives payment;SCSI blue;Massachusetts Programmable;Washington;IN_STOCK;withdrawal;Rustic Product Dakota;8
9;Lebanon Analyst;Nevada clicks-and-mortar protocol;connect blue;navigating Concrete;parsing Producer;reinvent open-source Integrated;IN_STOCK;Bedfordshire IB payment;maximize Chicken;9
10;Concrete blue;modular;neural back-end Infrastructure;copying Dakota Sterling;benchmark 1080p quantifying;relationships;BACKORDER;users;quantifying;10
